hfpxzc href,qBF1Pd,MW4etd,UY7F9,W4Efsd,W4Efsd 2,doJOZc,W4Efsd 3,W4Efsd 4,W4Efsd 5,W4Efsd 6,FQ2IWe src,ah5Ghc,Jn12ke src
https://www.google.com/maps/place/Life+Church/data=!4m7!3m6!1s0x87f618d471f6bf4b:0x4b0c315d29960159!8m2!3d44.8698116!4d-93.4554923!16s%2Fg%2F1vd95nn1!19sChIJS7_2cdQY9ocRWQGWKV0xDEs?authuser=0&hl=en&rclk=1,Life Church,4.7,-12,Church,·,,·,14100 Valley View Rd,Closes soon,⋅ 9 PM ⋅ Opens 7 PM Fri,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqTAq9RKHJSvaQlgUwdA55Qv3wsMAwn-_ssQQwBAszA4v9C9FiHtHcoCl9oULqlN_0jkSkRk2Fr1DPENmmuXyOjBmW6y3_BpdS6EHYZuz9VvEd6265Yubb7ND2fIGi9Ju38v73m9A=w163-h92-k-no,,
https://www.google.com/maps/place/Destiny+Hill+Church/data=!4m7!3m6!1s0x87f61fb9ad34ffff:0xcbd5c6e6470025f8!8m2!3d44.9270759!4d-93.4479744!16s%2Fg%2F11g8v0w1b5!19sChIJ__80rbkf9ocR-CUAR-bG1cs?authuser=0&hl=en&rclk=1,Destiny Hill Church,5,-17,Church of Christ,·,,·,13207 Lake Street Extension,Closed,⋅ Opens 10 AM Thu,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrtZdcy6BeEVmlOmcdMlrYX9QAHddEZFn8_QuKdZlCuz27KuYyvgDF7MLKgMo6BV5i6qHCVRJHNU3txwBR4ApuQUG9wypUJxeL7i8nOTu-jzIMcJznzogL4Cl4iK0NLebPncAQi=w163-h92-k-no,,
https://www.google.com/maps/place/Church+of+the+Cross/data=!4m7!3m6!1s0x87f620231c8ec803:0xd70d08454b996e81!8m2!3d44.9281855!4d-93.4107928!16s%2Fg%2F1tg3bnpq!19sChIJA8iOHCMg9ocRgW6ZS0UIDdc?authuser=0&hl=en&rclk=1,Church of the Cross,4.4,-18,Anglican church,·,,·,201 9th Ave N,Closed,⋅ Opens 10 AM Thu,https://lh3.googleusercontent.com/p/AF1QipOYmAIIrg5TLXcPy_DZ1cTDr5lzrx-jLmn2hkou=w138-h92-k-no,,
https://www.google.com/maps/place/Church+of+St.+Patrick+of+Edina/data=!4m7!3m6!1s0x87f62181fa53c2e7:0x7205d6ddce10099e!8m2!3d44.8787181!4d-93.38103!16s%2Fg%2F1tj5lqfx!19sChIJ58JT-oEh9ocRngkQzt3WBXI?authuser=0&hl=en&rclk=1,Church of St. Patrick of Edina,4.5,-39,Catholic church,·,,·,6820 St Patricks Ln,Closed,⋅ Opens 8:30 AM Thu,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqo5Ia3pE5j7P6Em0-xHFfdlcx3tIa6e5qNVIguwQbAJuehPte3kaHFUNEi2xhEKJePHTCV5Wq04VMTxmZA1_l5lCOHQQKgkM-pW9eYI_tYWEkR1mXyWc2wIGf4gTFqEv_X-wPdAQ=w163-h92-k-no,,
https://www.google.com/maps/place/Our+Lady+of+Grace+Catholic+Church/data=!4m7!3m6!1s0x87f621269066cd6d:0x79ca54d9fe747d86!8m2!3d44.9068519!4d-93.3524757!16s%2Fg%2F1tfvhs54!19sChIJbc1mkCYh9ocRhn10_tlUynk?authuser=0&hl=en&rclk=1,Our Lady of Grace Catholic Church,4.8,-155,Catholic church,·,,·,5071 Eden Ave,Closed,⋅ Opens 8:30 AM Thu,https://lh3.googleusercontent.com/p/AF1QipOaiocf3114vtuBojzkwBmRIl2gPFmDmL-hOWno=w138-h92-k-no,,
https://www.google.com/maps/place/Cross+of+Glory+Baptist+Church/data=!4m7!3m6!1s0x87f61f8565665045:0x418df91075cd25d1!8m2!3d44.9201744!4d-93.4281963!16s%2Fg%2F1thvyvd0!19sChIJRVBmZYUf9ocR0SXNdRD5jUE?authuser=0&hl=en&rclk=1,Cross of Glory Baptist Church,4.7,-25,Baptist church,·,,·,4600 Shady Oak Rd,Closed,⋅ Opens 9 AM Thu,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no7RAOykNinC7AyIbwS-WWASOc4eXAroU_hI4GyiJV6UWAGytmf4xYn4TlGxaW3l42GYdeCjMVM95XO2cQ_b6C7ZyxKStfoBHIlFb9xt5pwtn0zUVdqx7H03wUapP00RPHxhynrnw=w163-h92-k-no,,
https://www.google.com/maps/place/CHRISTIAN+FAMILY+CHURCH/data=!4m7!3m6!1s0x87f623e762164f6b:0x2438f64b28672ca3!8m2!3d44.8699316!4d-93.359357!16s%2Fg%2F11g68__3b0!19sChIJa08WYucj9ocRoyxnKEv2OCQ?authuser=0&hl=en&rclk=1,CHRISTIAN FAMILY CHURCH,4.7,-38,Church,·,,·,7375 Bush Lake Rd,Closed,⋅ Opens 6:30 PM Fri,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqW5pVrXXeC5zNAUhx-cRL-oiVvVtWXsUxRLlTdfMyZ9OdY3iZPqjaLA5WB7_JMvCAzSN4RgXy3k7mcl4arEnSpHHx8fSpdp0kWAptchyCfbAtFqPL29eL-IZTMzVRR4j-EOMlG7g=w163-h92-k-no,,
https://www.google.com/maps/place/Knollwood+Christian+Church/data=!4m7!3m6!1s0x87f62089750a6d1b:0x8b164111af3975bb!8m2!3d44.9373052!4d-93.3766183!16s%2Fg%2F1xgrnhdg!19sChIJG20KdYkg9ocRu3U5rxFBFos?authuser=0&hl=en&rclk=1,Knollwood Christian Church,4.9,-12,Church,·,,·,3639 Quebec Ave S,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=hzvjaku5TlJv10tNX079Jw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=15.281774&pitch=0&thumbfov=100,,
https://www.google.com/maps/place/Park+Community+Church/data=!4m7!3m6!1s0x87f6209da1418b3f:0x6067ac57475a0837!8m2!3d44.9491406!4d-93.3663714!16s%2Fg%2F1vg_ddy1!19sChIJP4tBoZ0g9ocRNwhaR1esZ2A?authuser=0&hl=en&rclk=1,Park Community Church,5,-26,Church,·,,·,6805 Minnetonka Blvd,Closed,⋅ Opens 9 AM Sun,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr8LhdBpOcix76GV9oWjKuEsG279vsvwiZGJgcT-Bkvw78zEQO8oLU-GUY0Ol_bVG3vx_u5PCBp5O4YDEvb2g8ZbuVJGwY12opZQBlldkWXv5bxPZtaaxTK8rez-35UDjVudXPv=w137-h92-k-no,,
https://www.google.com/maps/place/Shepherd+of+the+Hills+Lutheran+Church+of+Edina/data=!4m7!3m6!1s0x87f62053cdce2217:0x76b7cff773f41f6b!8m2!3d44.9167328!4d-93.3863218!16s%2Fg%2F1vpq7fw9!19sChIJFyLOzVMg9ocRax_0c_fPt3Y?authuser=0&hl=en&rclk=1,Shepherd of the Hills Lutheran Church of Edina,4.6,-16,Lutheran church,·,,·,500 Blake Rd S,Closed,⋅ Opens 9 AM Thu,https://lh3.googleusercontent.com/p/AF1QipNMltLZjbx6vkDCLPQw5eZhDHLBrwCIIuTDIuUA=w80-h104-k-no,,
https://www.google.com/maps/place/Wooddale+Church+-+Edina+Campus/data=!4m7!3m6!1s0x87f62133203e9adb:0xcd73258b14b4c252!8m2!3d44.9022018!4d-93.3400329!16s%2Fg%2F1hc3840km!19sChIJ25o-IDMh9ocRUsK0FIslc80?authuser=0&hl=en&rclk=1,Wooddale Church - Edina Campus,4.7,-31,Non-denominational church,·,,·,5532 Wooddale Ave,Closed,⋅ Opens 9 AM Thu,https://lh3.googleusercontent.com/p/AF1QipMDir60dbiyAVRJMEhEG47H4W51ILIQ-kymuWWO=w80-h120-k-no,,
https://www.google.com/maps/place/Mills+Church/data=!4m7!3m6!1s0x87f61fdb1f4f48f9:0xbb9785481d3a4f52!8m2!3d44.9398905!4d-93.4471061!16s%2Fg%2F1tlqqk2k!19sChIJ-UhPH9sf9ocRUk86HUiFl7s?authuser=0&hl=en&rclk=1,Mills Church,4.9,-9,Church,·,,·,13215 Minnetonka Dr,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npFZNSEkaGvYxEOo9h21hdwa8zsA6F0VBmT9qTq0U6lyorHfS5kZlU_rqzgVE-yQLCfuIz3a5K9R-aKSD8HMtFASyk0f9IzBtp0zBP16mcrYIuetvGSld4YRFa4LCyFovShBC3-Zw=w80-h106-k-no,,
https://www.google.com/maps/place/Immaculate+Heart+of+Mary+Church/data=!4m7!3m6!1s0x87f61fa869c882b7:0xcdbb76a981407c97!8m2!3d44.9121933!4d-93.4509011!16s%2Fg%2F1tdnlp9b!19sChIJt4LIaagf9ocRl3xAgal2u80?authuser=0&hl=en&rclk=1,Immaculate Heart of Mary Church,4.6,-24,Catholic church,·,,·,13505 Excelsior Blvd,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqEI7AgfhN42Rb5yHp6vV8ivgfOVlb_T4qvpdk5I0fv0WaPCvqRpJ4cJ7PzFvQAHMRqWxYcG0KqNgCtao-jraN646b66q68BEvi3xR8YGcsRmFUnASkjhXISYmKSUFoaijAO8nCiw=w122-h92-k-no,,
https://www.google.com/maps/place/Redeemer+Bible+Church/data=!4m7!3m6!1s0x87f61e6812bc7b3f:0xdfacabbb120c2d78!8m2!3d44.9183583!4d-93.4851013!16s%2Fg%2F1tgvf5mn!19sChIJP3u8Emge9ocReC0MErurrN8?authuser=0&hl=en&rclk=1,Redeemer Bible Church,4.5,-33,Gospel church,·,,·,16205 MN-7,Closed,⋅ Opens 9 AM Thu,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq2WxO5B-VR3oYyopQvOQRUcH_Ry8tONdB4fr66i9o2XqizpksKwVzS3epLecTFkwibA-oFYVEQ0VIKu6qzQ_B4pS__x5upDprRl_VYG01WEmYh687QhKrqkq5xm0jKcFp0YTg=w138-h92-k-no,,
https://www.google.com/maps/place/Westwood+Community+Church+-+Bush+Lake+Campus/data=!4m7!3m6!1s0x87f6237193e34729:0x97a01e97d13c05be!8m2!3d44.8610892!4d-93.3636079!16s%2Fg%2F11gw2s82mm!19sChIJKUfjk3Ej9ocRvgU80ZceoJc?authuser=0&hl=en&rclk=1,Westwood Community Church - Bush Lake Campus,4.7,-23,Church,·,,·,6301 Cecilia Cir,Closed,⋅ Opens 8:30 AM Sun,https://lh3.googleusercontent.com/p/AF1QipNH6vQ6SUbOKLJcqkZ9Cbr3XTRf5a3Yl1d4Fnm2=w138-h92-k-no,,
https://www.google.com/maps/place/Liberty+Baptist+Church+of+Eden+Prairie/data=!4m7!3m6!1s0x87f61f3add973515:0x27b8360f1406c361!8m2!3d44.8850471!4d-93.4481403!16s%2Fg%2F1tkb5nsf!19sChIJFTWX3Tof9ocRYcMGFA82uCc?authuser=0&hl=en&rclk=1,Liberty Baptist Church of Eden Prairie,4.8,-9,Baptist church,·,,·,6500 Baker Rd,Closed,⋅ Opens 9 AM Thu,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noIYU6IZWORQzPsFTkndJeuXPhF7AeeqM9kR4OeAqGrhlKOBMf3T-0zcICBg3x-Yn0mEq7Mdrn9_rK1M8Kvmdz5HmuHtPEn3uslyKHWVvEyRzE4GrZNidzpFc45Q_-srkQkNP_T=w122-h92-k-no,,
https://www.google.com/maps/place/Holy+Family+Catholic+Church/data=!4m7!3m6!1s0x87f620a3e4cd66bb:0xf7b4e91fd840b5cf!8m2!3d44.946132!4d-93.354702!16s%2Fg%2F1tdksc06!19sChIJu2bN5KMg9ocRz7VA2B_ptPc?authuser=0&hl=en&rclk=1,Holy Family Catholic Church,4.8,-112,Catholic church,·,,·,5900 W Lake St,Closed,⋅ Opens 8:30 AM Thu,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npddy8MHyVwZw6aPY4JzFQ6p0p64RbmnYpGYh3IYiyiCk_rv_Xx0qLwYQlU6yEJr04gezF0u6OpcyoZ8Jg2XIBtY186pwV3G4IAtbs37uDQgPJaveyucTwlL4TEPPa3q9PhmnHq=w120-h92-k-no,,
https://www.google.com/maps/place/Ridgewood+Church/data=!4m7!3m6!1s0x87f61dded976007d:0x44d914278b92b59c!8m2!3d44.9230503!4d-93.5045643!16s%2Fg%2F1tdrxwgp!19sChIJfQB22d4d9ocRnLWSiycU2UQ?authuser=0&hl=en&rclk=1,Ridgewood Church,5,-23,Church,·,,·,4420 County Rd 101,Closed,⋅ Opens 9 AM Thu,https://lh3.googleusercontent.com/p/AF1QipM21mibFb2R-Ku9ay4clORi67CjlTjJvDLxraPZ=w138-h92-k-no,Onsite services,
https://www.google.com/maps/place/Miracle+City+Church/data=!4m7!3m6!1s0x52b332bf1e1676af:0x4efac1fa7ac4b20c!8m2!3d44.9686708!4d-93.2776426!16s%2Fg%2F1vm7b2yz!19sChIJr3YWHr8ys1IRDLLEevrB-k4?authuser=0&hl=en&rclk=1,Miracle City Church,4.8,-120,Evangelical church,·,,·,1407 Nicollet Ave,Closes soon,⋅ 9 PM ⋅ Opens 9 AM Thu,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nptNX2qcqKjgEf4GH114YoIscH6MJkcRzLPxffAVLmScVtR1niESB5S8iZ81TMSjitkj9g64wniBuBAjk8IKvOED1V4kxTA13CQaxKzF6jLmpz57ImwJsI0-gah9nKOjE3A8rED=w148-h92-k-no,,
https://www.google.com/maps/place/Speak+the+Word+Church+International/data=!4m7!3m6!1s0x52b334ee9ace74af:0xc1146b8f6815c60c!8m2!3d44.975552!4d-93.366217!16s%2Fg%2F1tlgxlr8!19sChIJr3TOmu40s1IRDMYVaI9rFME?authuser=0&hl=en&rclk=1,Speak the Word Church International,4.4,-94,Non-denominational church,·,,·,515 Jersey Ave S,Closed,⋅ Opens 8:30 AM Thu,https://lh3.googleusercontent.com/p/AF1QipN8nLgbOB21mlQBi8OcRQssLDBUP9U39p7JULc=w163-h92-k-no,Onsite services,
https://www.google.com/maps/place/Gethsemane+Lutheran+Church/data=!4m7!3m6!1s0x87f62017b1ce7e61:0x25d8935f32a37f14!8m2!3d44.9325365!4d-93.4081439!16s%2Fg%2F1tdbf_27!19sChIJYX7OsRcg9ocRFH-jMl-T2CU?authuser=0&hl=en&rclk=1,Gethsemane Lutheran Church,4.8,-38,Lutheran church,·,,·,715 Minnetonka Mills Rd,Closed,⋅ Opens 9 AM Thu,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npz-pVmw497rtM-3MmPFF7GccXXxxr0mAQdUe-eUtydDiTe94PHYpLpC5A5kdaTQSud6z1MRyGP8wYI3DPDmxDqLX8HFbkU1ptINiPGzUYlIfsjjdiEtbFh3DXS3Jh5bDqxaEpE=w122-h92-k-no,,
https://www.google.com/maps/place/Good+Samaritan+United+Methodist+Church/data=!4m7!3m6!1s0x87f6210dfbbe471b:0x5a43959eefd042ca!8m2!3d44.8989155!4d-93.3700241!16s%2Fg%2F1tfx5g0j!19sChIJG0e--w0h9ocRykLQ756VQ1o?authuser=0&hl=en&rclk=1,Good Samaritan United Methodist Church,4.7,-20,Church,·,,·,5730 Grove St,Closed,⋅ Opens 9 AM Thu,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrtYJUyw3Dv8Gq9ctUYht0WUBmxahbZ6ED2X_CrnDuuDkUNDLVHXiVpwACZJQs4I3vgJ_Ijg9qf1QOzhgadDQiWn_bJYiGvN-XVizNuSUFz0_BNwqzPh3v8mjSoKBdt8_gAbwU=w80-h142-k-no,Onsite services,
https://www.google.com/maps/place/Ukrainian+Baptist+Church+MN/data=!4m7!3m6!1s0x87f620c5feb3643f:0x5958cdd030ebd019!8m2!3d44.9340696!4d-93.409295!16s%2Fg%2F11g8vdyr5t!19sChIJP2Sz_sUg9ocRGdDrMNDNWFk?authuser=0&hl=en&rclk=1,Ukrainian Baptist Church MN,4.9,-28,Church,·,,·,717 MN-7,Closes soon,⋅ 9 PM ⋅ Opens 6 PM Thu,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noh23garwE8HDsf-vmOgeV7eGxAOMXCTAVypef31nYhAKE-51pGz6IGkNrsbfvQv2U3GgHbANBPnh3Kp629XzpNDwlAC6ragD5POcWK3J4F1KYTJfHbLMjuXTZAOYGiC-lwoH55wg=w163-h92-k-no,,
https://www.google.com/maps/place/Mercy+Hill+Church/data=!4m7!3m6!1s0x87f61e3af89f8c3f:0x203ae12c9096ad3f!8m2!3d44.935824!4d-93.473352!16s%2Fg%2F11hbggbt68!19sChIJP4yf-Doe9ocRP62WkCzhOiA?authuser=0&hl=en&rclk=1,Mercy Hill Church,4.4,-18,Non-denominational church,·,,·,15414 Minnetonka Industrial Rd,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np5xvIhc-wyVfuXSCbUhGdRXKOwqNhV0WwfvHWZBKAVtROjSwtO6HByVYoW7qWDqYw5VYunlZcezADriq9ajDW11C2dfU9DTqXyiPznw-J8JG8-p6XsLwlk3IKd6R-n=w174-h92-k-no,,
https://www.google.com/maps/place/City+Church/data=!4m7!3m6!1s0x87f6265875d5cbbd:0xf05cabdd0cdb46!8m2!3d44.904607!4d-93.2985114!16s%2Fg%2F12hqr0g78!19sChIJvcvVdVgm9ocRRtsM3atc8AA?authuser=0&hl=en&rclk=1,City Church,4.8,-12,Non-denominational church,·,,·,1501 W 54th St,Closed,⋅ Opens 9 AM Thu,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noVaffELtKxcJqIBbxSvntOVIDy6ct5bXJ11G3SRbN7AaauYwKC98fXRAWmQZf49NIxFNXOG_9C0ssS-bihbibVLoY9vJM1bVuWgy62lyIJ4Zp6l_8-Q4U92YarndTp3eKp29XA=w163-h92-k-no,,
https://www.google.com/maps/place/Christ+Presbyterian+Church/data=!4m7!3m6!1s0x87f6215806f33a61:0x4d2549888c53f204!8m2!3d44.877317!4d-93.3490458!16s%2Fm%2F0_fsrbj!19sChIJYTrzBlgh9ocRBPJTjIhJJU0?authuser=0&hl=en&rclk=1,Christ Presbyterian Church,4.7,-60,Presbyterian church,·,,·,6901 Normandale Rd,Open,⋅ Closes 10 PM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noZwGAcX03pwWtCModPZKUEJ45laLFWenB_eaSZIfzSsuMipP2OQaOm5KM5veNkYM8WbgOM4ENvO_eOG3K-G5ilPo4wp29VT9WMMJTVWoSVknwGKLf0BqqBEWlxM6dRNFOP6ygFvA=w171-h92-k-no,,
https://www.google.com/maps/place/Grace+Apostolic+Church/data=!4m7!3m6!1s0x87f627c26d901869:0x60aceacc81f08d20!8m2!3d44.9272804!4d-93.4339253!16s%2Fg%2F1yglpdd6_!19sChIJaRiQbcIn9ocRII3wgczqrGA?authuser=0&hl=en&rclk=1,Grace Apostolic Church,4.9,-43,Apostolic church,·,,·,4215 Fairview Ave,Closed,⋅ Opens 12 PM Sat,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrED45qIBcOFiNyIlhEc-NBkZXZuZPM9LCwjei1gE6XMFXjoBUMsZn9Aamugzv_H36BlmGi-csiSO63-mnszkTCQTg0iDhR32Sl6AowtfV8bPcZPVDq6zX6A99CWsDlN2ka_ns=w163-h92-k-no,Onsite services,
https://www.google.com/maps/place/New+City+Covenant+Church/data=!4m7!3m6!1s0x87f621e3d2bd6c9f:0xee5f9e0cd076ebd2!8m2!3d44.8859505!4d-93.3701306!16s%2Fg%2F1tcx_d4b!19sChIJn2y90uMh9ocR0ut20AyeX-4?authuser=0&hl=en&rclk=1,New City Covenant Church,5,-8,Church,·,,·,6400 Tracy Ave,Closed,⋅ Opens 9 AM Sun,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nptzPWN4XIPVJH8ZWhgMuCQme8cTaxUEmZr6vAS7Er9u6rxPR2Xr-X2HZKMGswPkXCQUkY9NUt0aXtMW5NyYxQ9HWgII0wqBTuc0MNiC1mLcf4hOYHyS9y4z8m-3zuDHO2ISb7bSA=w92-h92-k-no,,
https://www.google.com/maps/place/Chapel+Hills+United+Church+of+Christ/data=!4m7!3m6!1s0x87f621a2b15797f9:0x59d21b0fd042b2fd!8m2!3d44.8945634!4d-93.3900884!16s%2Fg%2F1w0sdf5w!19sChIJ-ZdXsaIh9ocR_bJC0A8b0lk?authuser=0&hl=en&rclk=1,Chapel Hills United Church of Christ,5,-3,United Church of Christ,·,,·,6512 Vernon Ave S,Closed,⋅ Opens 9 AM Sun,https://lh3.googleusercontent.com/p/AF1QipOGeEFyrGap6puSfA9cvgLvYv287ZnKAlx76UL9=w122-h92-k-no,,
https://www.google.com/maps/place/Slavic+Church+Emmanuel/data=!4m7!3m6!1s0x87f620c5c28687a7:0xd92600bc03036ff7!8m2!3d44.9269708!4d-93.350265!16s%2Fg%2F11b7d_1zc0!19sChIJp4eGwsUg9ocR928DA7wAJtk?authuser=0&hl=en&rclk=1,Slavic Church Emmanuel,5,-48,Church,·,,·,5524 W 41st St,Closes soon,⋅ 9 PM ⋅ Opens 7 PM Fri,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nomXXQhs0Sm5fi2GCneqN8CvWO0RR6wgxNYjyUYYn9EAi3WXcaDNbgkloHO15x_8UZj7jwh99mj8P9ZafLk_iMPa6ePOREOrRc125vUjcOG-nag4mOJkiDI0qOdAgt2itbe3EUjHQ=w80-h164-k-no,,
https://www.google.com/maps/place/Power+of+Gospel+Church/data=!4m7!3m6!1s0x87f629033697c303:0xf0438f1275cf546e!8m2!3d44.9273934!4d-93.3492489!16s%2Fg%2F11c58qp0xv!19sChIJA8OXNgMp9ocRblTPdRKPQ_A?authuser=0&hl=en&rclk=1,Power of Gospel Church,4.8,-13,Church,·,,·,5450 W 41st St,Closed,⋅ Opens 9 AM Thu,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nocn2jVrhTk5gq4fHzS1iIFHL1zlBXPLKkeSGrmr9C53OBo2B4O1gOfTHB4a6wkJYVisHku31oMlA2s9_hUFRkXyGf5uhaX_F6l0ELgHGOillfwEWLc8X-AXhhJcijWuCPDJbs=w122-h92-k-no,,
